Potential applied (V)	WE(1).Current (A)
-0.5218505859375	-4.2510986328125E-06
-0.5194091796875	-4.1778564453125E-06
-0.5169677734375	-4.16259765625E-06
-0.5145263671875	-4.0740966796875E-06
-0.5120849609375	-3.9886474609375E-06
-0.5096435546875	-3.857421875E-06
-0.5072021484375	-3.753662109375E-06
-0.5047607421875	-3.57666015625E-06
-0.5023193359375	-3.4503173828125E-06
-0.4998779296875	-3.29833984375E-06
-0.4974365234375	-3.177490234375E-06
-0.4949951171875	-3.08563232421875E-06
-0.4925537109375	-3.0322265625E-06
-0.4901123046875	-2.9669189453125E-06
-0.4876708984375	-2.9388427734375E-06
-0.4852294921875	-2.89825439453125E-06
-0.4827880859375	-2.8729248046875E-06
-0.4803466796875	-2.83172607421875E-06
-0.4779052734375	-2.75054931640625E-06
-0.4754638671875	-2.63153076171875E-06
-0.4730224609375	-2.54180908203125E-06
-0.4705810546875	-2.39288330078125E-06
-0.4681396484375	-2.25555419921875E-06
-0.4656982421875	-2.1270751953125E-06
-0.4632568359375	-2.0062255859375E-06
-0.4608154296875	-1.91192626953125E-06
-0.4583740234375	-1.88232421875E-06
-0.4559326171875	-1.8048095703125E-06
-0.4534912109375	-1.768798828125E-06
-0.4510498046875	-1.80145263671875E-06
-0.4486083984375	-1.7596435546875E-06
-0.4461669921875	-1.74285888671875E-06
-0.4437255859375	-1.68487548828125E-06
-0.4412841796875	-1.55517578125E-06
-0.4388427734375	-1.44805908203125E-06
-0.4364013671875	-1.3568115234375E-06
-0.4339599609375	-1.2042236328125E-06
-0.4315185546875	-1.1285400390625E-06
-0.4290771484375	-1.015625E-06
-0.4266357421875	-9.5001220703125E-07
-0.4241943359375	-9.0423583984375E-07
-0.4217529296875	-8.6578369140625E-07
-0.4193115234375	-8.6090087890625E-07
-0.4168701171875	-8.6669921875E-07
-0.4144287109375	-8.660888671875E-07
-0.4119873046875	-8.5357666015625E-07
-0.4095458984375	-8.45947265625E-07
-0.4071044921875	-7.379150390625E-07
-0.4046630859375	-6.8359375E-07
-0.4022216796875	-5.548095703125E-07
-0.3997802734375	-4.30908203125E-07
-0.3973388671875	-2.8564453125E-07
-0.3948974609375	-1.7364501953125E-07
-0.3924560546875	-1.2054443359375E-07
-0.3900146484375	-1.031494140625E-07
-0.3875732421875	-8.36181640625E-08
-0.3851318359375	-1.1016845703125E-07
-0.3826904296875	-1.4984130859375E-07
-0.3802490234375	-1.336669921875E-07
-0.3778076171875	-1.4068603515625E-07
-0.3753662109375	-9.94873046875E-08
-0.3729248046875	-7.32421875E-09
-0.3704833984375	1.544189453125E-07
-0.3680419921875	2.2247314453125E-07
-0.3656005859375	3.9306640625E-07
-0.3631591796875	4.62646484375E-07
-0.3607177734375	5.828857421875E-07
-0.3582763671875	5.50537109375E-07
-0.3558349609375	6.2713623046875E-07
-0.3533935546875	5.3741455078125E-07
-0.3509521484375	6.0791015625E-07
-0.3485107421875	5.5084228515625E-07
-0.3460693359375	5.5694580078125E-07
-0.3436279296875	6.6619873046875E-07
-0.3411865234375	7.0404052734375E-07
-0.3387451171875	7.8857421875E-07
-0.3363037109375	8.880615234375E-07
-0.3338623046875	1.05926513671875E-06
-0.3314208984375	1.00494384765625E-06
-0.3289794921875	1.10626220703125E-06
-0.3265380859375	1.08062744140625E-06
-0.3240966796875	1.05499267578125E-06
-0.3216552734375	9.89990234375E-07
-0.3192138671875	1.0540771484375E-06
-0.3167724609375	1.082763671875E-06
-0.3143310546875	1.23321533203125E-06
-0.3118896484375	1.21307373046875E-06
-0.3094482421875	1.37237548828125E-06
-0.3070068359375	1.4019775390625E-06
-0.3045654296875	1.4813232421875E-06
-0.3021240234375	1.39678955078125E-06
-0.2996826171875	1.383056640625E-06
-0.2972412109375	1.5301513671875E-06
-0.2947998046875	1.4300537109375E-06
-0.2923583984375	1.3787841796875E-06
-0.2899169921875	1.19598388671875E-06
-0.2874755859375	1.4752197265625E-06
-0.2850341796875	1.51275634765625E-06
-0.2825927734375	1.7047119140625E-06
-0.2801513671875	1.7242431640625E-06
-0.2777099609375	2.03948974609375E-06
-0.2752685546875	1.84295654296875E-06
-0.2728271484375	2.08709716796875E-06
-0.2703857421875	1.84967041015625E-06
-0.2679443359375	1.80084228515625E-06
-0.2655029296875	1.61407470703125E-06
-0.2630615234375	1.66015625E-06
-0.2606201171875	1.66046142578125E-06
-0.2581787109375	1.6448974609375E-06
-0.2557373046875	1.69281005859375E-06
-0.2532958984375	1.8914794921875E-06
-0.2508544921875	2.32696533203125E-06
-0.2484130859375	2.314453125E-06
-0.2459716796875	2.5982666015625E-06
-0.2435302734375	2.7984619140625E-06
-0.2410888671875	2.794189453125E-06
-0.2386474609375	2.77679443359375E-06
-0.2362060546875	2.42584228515625E-06
-0.2337646484375	2.35687255859375E-06
-0.2313232421875	2.327880859375E-06
-0.2288818359375	1.86309814453125E-06
-0.2264404296875	2.12738037109375E-06
-0.2239990234375	2.05657958984375E-06
-0.2215576171875	2.4652099609375E-06
-0.2191162109375	2.3553466796875E-06
-0.2166748046875	2.74139404296875E-06
-0.2142333984375	2.89306640625E-06
-0.2117919921875	3.21746826171875E-06
-0.2093505859375	3.782958984375E-06
-0.2069091796875	3.08868408203125E-06
-0.2044677734375	2.48565673828125E-06
-0.2020263671875	2.20184326171875E-06
-0.1995849609375	2.10906982421875E-06
-0.1971435546875	1.95953369140625E-06
-0.1947021484375	2.4737548828125E-06
-0.1922607421875	2.9266357421875E-06
-0.1898193359375	3.2275390625E-06
-0.1873779296875	3.57177734375E-06
-0.1849365234375	4.04052734375E-06
-0.1824951171875	3.9154052734375E-06
-0.1800537109375	4.217529296875E-06
-0.1776123046875	3.7628173828125E-06
-0.1751708984375	4.0496826171875E-06
-0.1727294921875	3.6102294921875E-06
-0.1702880859375	3.11279296875E-06
-0.1678466796875	2.52685546875E-06
-0.1654052734375	2.410888671875E-06
-0.1629638671875	2.6611328125E-06
-0.1605224609375	2.25830078125E-06
-0.1580810546875	3.594970703125E-06
-0.1556396484375	3.7200927734375E-06
-0.1531982421875	4.644775390625E-06
-0.1507568359375	4.9285888671875E-06
-0.1483154296875	5.6976318359375E-06
-0.1458740234375	6.0333251953125E-06
-0.1434326171875	5.8807373046875E-06
-0.1409912109375	4.9407958984375E-06
-0.1385498046875	4.84619140625E-06
-0.1361083984375	4.35791015625E-06
-0.1336669921875	3.4149169921875E-06
-0.1312255859375	3.619384765625E-06
-0.1287841796875	3.40576171875E-06
-0.1263427734375	4.412841796875E-06
-0.1239013671875	5.047607421875E-06
-0.1214599609375	6.3934326171875E-06
-0.1190185546875	6.8817138671875E-06
-0.1165771484375	7.745361328125E-06
-0.1141357421875	7.09228515625E-06
-0.1116943359375	7.92236328125E-06
-0.1092529296875	6.48193359375E-06
-0.1068115234375	7.183837890625E-06
-0.1043701171875	5.8380126953125E-06
-0.1019287109375	6.53076171875E-06
-0.0994873046875	5.2001953125E-06
-0.0970458984375	5.6121826171875E-06
-0.0946044921875	6.402587890625E-06
-0.0921630859375	8.4014892578125E-06
-0.0897216796875	9.417724609375E-06
-0.0872802734375	1.0400390625E-05
-0.0848388671875	1.029052734375E-05
-0.0823974609375	1.0748291015625E-05
-0.0799560546875	1.09405517578125E-05
-0.0775146484375	1.0791015625E-05
-0.0750732421875	1.02447509765625E-05
-0.0726318359375	1.06964111328125E-05
-0.0701904296875	9.295654296875E-06
-0.0677490234375	8.7738037109375E-06
-0.0653076171875	9.228515625E-06
-0.0628662109375	8.9569091796875E-06
-0.0604248046875	1.04766845703125E-05
-0.0579833984375	1.19476318359375E-05
-0.0555419921875	1.34033203125E-05
-0.0531005859375	1.44134521484375E-05
-0.0506591796875	1.46392822265625E-05
-0.0482177734375	1.488037109375E-05
-0.0457763671875	1.6192626953125E-05
-0.0433349609375	1.571044921875E-05
-0.0408935546875	1.5594482421875E-05
-0.0384521484375	1.39984130859375E-05
-0.0360107421875	1.4764404296875E-05
-0.0335693359375	1.4923095703125E-05
-0.0311279296875	1.524658203125E-05
-0.0286865234375	1.4190673828125E-05
-0.0262451171875	1.5533447265625E-05
-0.0238037109375	1.6064453125E-05
-0.0213623046875	1.898193359375E-05
-0.0189208984375	1.982421875E-05
-0.0164794921875	2.264404296875E-05
-0.0140380859375	2.32147216796875E-05
-0.0115966796875	2.3736572265625E-05
-0.0091552734375	2.2137451171875E-05
-0.0067138671875	2.215576171875E-05
-0.0042724609375	2.30072021484375E-05
-0.0018310546875	2.2528076171875E-05
0.0006103515625	2.16766357421875E-05
