Potential applied (V)	WE(1).Current (A)
-0.5340576171875	-1.44744873046875E-05
-0.5316162109375	-1.4129638671875E-05
-0.5291748046875	-1.380615234375E-05
-0.5267333984375	-1.34429931640625E-05
-0.5242919921875	-1.30645751953125E-05
-0.5218505859375	-1.26373291015625E-05
-0.5194091796875	-1.22711181640625E-05
-0.5169677734375	-1.18560791015625E-05
-0.5145263671875	-1.14532470703125E-05
-0.5120849609375	-1.1065673828125E-05
-0.5096435546875	-1.0693359375E-05
-0.5072021484375	-1.03607177734375E-05
-0.5047607421875	-1.00677490234375E-05
-0.5023193359375	-9.7625732421875E-06
-0.4998779296875	-9.5123291015625E-06
-0.4974365234375	-9.2864990234375E-06
-0.4949951171875	-9.0423583984375E-06
-0.4925537109375	-8.7982177734375E-06
-0.4901123046875	-8.5174560546875E-06
-0.4876708984375	-8.203125E-06
-0.4852294921875	-7.9376220703125E-06
-0.4827880859375	-7.6568603515625E-06
-0.4803466796875	-7.3150634765625E-06
-0.4779052734375	-7.0404052734375E-06
-0.4754638671875	-6.7474365234375E-06
-0.4730224609375	-6.5032958984375E-06
-0.4705810546875	-6.304931640625E-06
-0.4681396484375	-6.0943603515625E-06
-0.4656982421875	-5.902099609375E-06
-0.4632568359375	-5.7769775390625E-06
-0.4608154296875	-5.60302734375E-06
-0.4583740234375	-5.4595947265625E-06
-0.4559326171875	-5.279541015625E-06
-0.4534912109375	-5.0750732421875E-06
-0.4510498046875	-4.9041748046875E-06
-0.4486083984375	-4.6875E-06
-0.4461669921875	-4.43115234375E-06
-0.4437255859375	-4.2266845703125E-06
-0.4412841796875	-3.997802734375E-06
-0.4388427734375	-3.8299560546875E-06
-0.4364013671875	-3.6773681640625E-06
-0.4339599609375	-3.533935546875E-06
-0.4315185546875	-3.4271240234375E-06
-0.4290771484375	-3.3447265625E-06
-0.4266357421875	-3.2611083984375E-06
-0.4241943359375	-3.18328857421875E-06
-0.4217529296875	-3.06884765625E-06
-0.4193115234375	-2.95379638671875E-06
-0.4168701171875	-2.82135009765625E-06
-0.4144287109375	-2.67364501953125E-06
-0.4119873046875	-2.50579833984375E-06
-0.4095458984375	-2.3675537109375E-06
-0.4071044921875	-2.208251953125E-06
-0.4046630859375	-2.0843505859375E-06
-0.4022216796875	-1.9775390625E-06
-0.3997802734375	-1.90887451171875E-06
-0.3973388671875	-1.8414306640625E-06
-0.3948974609375	-1.8060302734375E-06
-0.3924560546875	-1.7584228515625E-06
-0.3900146484375	-1.72943115234375E-06
-0.3875732421875	-1.6876220703125E-06
-0.3851318359375	-1.6162109375E-06
-0.3826904296875	-1.52191162109375E-06
-0.3802490234375	-1.43585205078125E-06
-0.3778076171875	-1.324462890625E-06
-0.3753662109375	-1.2164306640625E-06
-0.3729248046875	-1.11419677734375E-06
-0.3704833984375	-1.00738525390625E-06
-0.3680419921875	-9.4207763671875E-07
-0.3656005859375	-9.197998046875E-07
-0.3631591796875	-8.7799072265625E-07
-0.3607177734375	-8.660888671875E-07
-0.3582763671875	-8.673095703125E-07
-0.3558349609375	-8.9630126953125E-07
-0.3533935546875	-8.8226318359375E-07
-0.3509521484375	-8.599853515625E-07
-0.3485107421875	-7.9254150390625E-07
-0.3460693359375	-7.525634765625E-07
-0.3436279296875	-6.8634033203125E-07
-0.3411865234375	-6.0577392578125E-07
-0.3387451171875	-5.145263671875E-07
-0.3363037109375	-4.315185546875E-07
-0.3338623046875	-3.8360595703125E-07
-0.3314208984375	-3.9520263671875E-07
-0.3289794921875	-3.448486328125E-07
-0.3265380859375	-3.41796875E-07
-0.3240966796875	-3.74755859375E-07
